title,year,rating,director,stars
"R: Raja, Ratu, & Rahasia",2018,6.9,Findo Purwono,"Brandon Salim,Aurora Ribero,Ira Wibowo"
Kamp Tawanan Wanita,1983,5.1,Jopi Burnama,"Marisa Haque,Boy Tirayoh,Mangara Siahaan"
Kebun Binatang,2012,6.2,Edwin,"Ladya Cheryl,Nicholas Saputra,Adjie Nur Ahmad"
The Witness,2012,6.3,Muhammad Yusuf,"Gwen Zamora,Pierre Gruno,Agung Saga"
Sundelbolong,1982,6.1,Sisworo Gautama Putra,"Suzzanna,Rudy Salam,Barry Prima"
Soegija,2012,6.3,Garin Nugroho,"Nirwan Dewanto,Annisa Hertami Kusumastuti,Wouter Braaf"
Godain Kita Dong,1989,,Hadi Poernomo,"Dono Warkop,Kasino Warkop,Indro Warkop"
40 Hari Bangkitnya Pocong,2008,4.8,Rudy Soedjarwo,"Raffi Ahmad,Irwansyah,Sabai Morscheck"
Pijat Atas Tekan Bawah,2009,2.5,K.K. Dheeraj,"Wendy Armoko,Denny Cagur,Tata Dado"
Karma,2008,7.2,Allan Lunardi,"Dominique Agisca Diyose,Joe Taslim,Verdi Solaiman"
Ketika Cinta Bertasbih 2,2009,6.3,Chaerul Umam,"Kholidi Asadil Alam,Oki Setiana Dewi,Alice Norin"
Tak Kemal Maka Tak Sayang,2014,5.5,Fajar Bustomi,"Kemal Palevi,Laudya Cynthia Bella,Norman R. Akyuwen"
Saur Sepuh 3: Kembang Gunung Lawu,1990,7.4,Imam Tantowi,"Murti Sari Dewi,Elly Ermawati,Yoshep Hungan"
Hukuman Zinah,1996,7.0,Emil G. Hampp,"Aramantono,Ibra Azhari,Windy Chindyana"
Anak Ambar,2020,,Melvin Giovanie,"Irene Sonia,Melvin Giovanie,Wellyranti"
Mall Klender,2014,6.2,David Purnomo,"Shandy Aulia,Denny Sumargo,Tasya Kamila"
Badai Pasti Berlalu,1977,7.6,Teguh Karya,"Roy Marten,Christine Hakim,Slamet Rahardjo"
Bisa Naik Bisa Turun,1991,7.5,Arizal,"Dono Warkop,Kasino Warkop,Indro Warkop"
My Generation,2017,7.1,Upi Avianto,"Bryan Warow,Arya Vasco,Lutesha"
Ivanna Van Dijk,2021,,Kimo Stamboel,"Taskya Namya,Junior Roberts,Caitlin Halderman"
The Right One,2014,7.0,Stephen Odang,"Gandhi Fernando,Tara Basro,Dave Alexandre"
Pasukan Berani Mati,1983,6.3,Imam Tantowi,"Roy Marten,Dicky Zulkarnaen,Rini S. Bono"
Si Juki,2017,6.5,Faza Meonk,"Muhammad Marzuki,Bunga Citra Lestari,Faza Meonk"
What Love Means,2005,5.5,Sunil Soraya,"Shandy Aulia,Samuel Rizal,Dimas Beck"
Catatan (Harian) Si Boy,2011,6.8,Putrama Tuta,"Ario Bayu,Onky Alexander,Abimana Aryasatya"
Stip & Pensil,2017,6.7,Ardy Octaviand,"Ernest Prakasa,Tatjana Saphira,Indah Permatasari"
Maju Kena Mundur Kena,1983,7.7,Arizal,"Eva Arnaz,Idjah Bomber,Anis Chan"
Misteri wanita berdarah dingin,1992,7.6,S.A. Karim,"Malfin Shayna,Reynaldi,F.X. Bambang"
The White Alligator,1988,6.3,H. Tjut Djalil,"Suzzanna,Soendjoto Adibroto,Vera Magdalena"
Refrain,2013,6.0,Fajar Nugros,"Maudy Ayunda,Afgansyah Reza,Maxime Bouttier"
Misteri di Malam Pengantin,1993,,Atok Suharto,"Yohana Alexandra,Ibrahim Asyhari,Kiki Fatmala"
Dendam dari Kuburan,2012,2.8,Nayato Fio Nuala,"Sisca Jessica,Anggie Amanda,Shinta Bachir"
Srigala,1981,4.7,Sisworo Gautama Putra,"Lydia Kandou,Rudy Salam,Barry Prima"
The Gathering! 2,2011,6.5,Nia Di Nata,"Cut Mini Theo,Tora Sudiro,Surya Saputra"
Lima Elang,2011,7.4,Rudy Soedjarwo,"David Chalik,Omara N. Esteghlal,Junior Liem"
Perempuan Bergairah,1982,,Jopi Burnama,"Jopi Burnama,Eva Arnaz,Barry Prima"
Kakak,2015,6.2,Ivander Tedjasukmana,"Laudya Cynthia Bella,Surya Saputra,Yafi Tesa Zahara"
Bangkit!,2016,6.5,Rako Prijanto,"Putri Ayudya,Vino G. Bastian,Donny Damara"
Bangsal 13,2004,6.5,Ody C. Harahap,"Endhita,Luna Maya,Andhika"
Rahasia Seorang Ibu,1977,,Wahyu Sihombing,"Chitra Dewi,Arman Effendy,Netty Herawati"
I Am Hope,2016,7.4,Adilla Dimitri,"Tatjana Saphira,Fachry Albar,Ray Sahetapy"
Vibrant Jakarta,2019,8.0,Livi Zheng,"Livi Zheng,Ken Zheng,Anies Baswedan"
Bangunnya Nyi Roro Kidul,1985,5.3,Sisworo Gautama Putra,"Bokir,Dorman Borisman,Johny Matakena"
Arini,1987,8.7,Sophan Sophiaan,"Widyawati,Joice Erna,Sophan Sophiaan"
Arini,2018,7.5,Ismail Basbeth,"Aura Kasih,Morgan Oey,Olga Lydia"
Escape from Hellhole,1983,4.4,Maman Firmansyah,"Gudi Sintara,Dicky Zulkarnaen,Siska Widowati"
Triangle the Dark Side,2016,2.2,Deddy Corbuzier,"Deddy Corbuzier,Sisca Jessica,Volland humonggio"
Madame X,2010,6.3,Lucky Kuswandi,"Joko Anwar,Titi Dwijayati,Ikhsan Himawan"
Tumbal: The Ritual,2018,7.7,Rama Gumay,"Mawar Eva de Jongh,Rayn Wijaya,Karel Susanteo"
Di Timur Matahari,2012,7.9,Ari Sihasale,"Laura Basuki,Lukman Sardi,Ringgo Agus Rahman"
Pachinko,2000,7.1,Harry Suharyadi,"Kazuko Hayami,Emiko Minami,Ikumi Sugiura"
Badai di Ujung Negeri,2011,7.7,Agung Sentausa,"Adrian Alim,Dedy Murphy Avivu,Edo Borne"
Get M4rried,2013,6.9,Monty Tiwa,"Nirina Zubir,Nino Fernandez,Aming Sugandhi"
Kurung Manuk (Bird Cage),2016,5.5,Sigit Pradityo,"Mehdi Amrullah,Asep,Sabrina Athika"
Revan & Reina,2018,8.3,Andreas Sullivan,"Angela Gilsha,Bryan Domani,Irsyadillah"
Bayi Ajaib,1982,6.3,Tindra Rengat,"Rina Hasyim,Muni Cader,W.D. Mochtar"
Bumi Itu Bulat,2019,7.7,Ron Widodo,"Rayn Wijaya,Febby Rastanty,Rania Putri Sari"
If This Is My Story,2018,,Djenar Maesa Ayu,"Kan Lume,Ine Febriyanti,Reza Rahadian"
The Tarix Jabrix 2,2009,6.0,Iqbal Rais,"Windi Agustina,Joanna Alexandra,Alda Changcut"
30 Hari Mencari Cinta,2004,6.0,Upi Avianto,"Maria Agnes,Vino G. Bastian,Luna Maya"
Taman Lawang,2013,,Aditya Gumay,"Tarra Budiman,Ferry Irawan,Chand Kelvin"
Kesempatan Dalam Kesempitan,1985,6.9,Arizal,"Mathias Agus,Lina Budiarty,Tony Damanik"
Arumi,2018,4.1,Nayato Fio Nuala,"Nadira Maharani,Melvionita,Ardina Rasti"
Joshua Oh Joshua,2001,6.4,Edward Sirait,"Joshua Suherman,Anjasmara,Jodi"
Sacrifice,2021,,Zeki Subasi,Zeki Subasi
Telaga Angker,1984,7.2,Sisworo Gautama Putra,"Suzzanna,George Rudy,Sandy Taroreh"
Perfect Dream,2017,6.9,Hestu Saputra,"Tissa Biani Azzahra,Wulan Guritno,Olga Lydia"
Get Married 3,2011,5.6,Monty Tiwa,"Nirina Zubir,Fedi Nuril,Aming Sugandhi"
Air Terjun Pengantin Phuket,2013,5.2,Rizal Mantovani,"Tamara Blezinski,Darius Sinathrya,Kimberly Ryder"
Bajaj Bajuri the Movie,2014,6.4,Fajar Nugros,"Ricky Harun,Eriska Rein,Meriam Bellina"
Rumah Kentang,2012,5.8,Jose Poernomo,"Shandy Aulia,Tasya Kamila,Gilang Dirgahari"
Akibat pergaulan bebas,1977,,Matnoor Tindaon,"Doris Callebaute,Roy Marten,Yatti Octavia"
Cinta dari Wamena,2013,7.8,Lasja Fauzia,"Maximus Itlay,Madonna Marrey,Benyamin Lagowan"
Setan Kredit,1981,7.2,Nawi Ismail,"Nawi Ismail,Dono Warkop,Indro Warkop"
Tiga Gadis Pilihan,1989,,Jopi Burnama,"Sally Marcellina,Karen Sukarno,Anna Shirley"
Cinta/Mati,2013,8.2,Ody C. Harahap,"Ody C. Harahap,Akbar Maraputra,Vino G. Bastian"
Si Juki the Movie 2,2021,,Faza Meonk,"Faza Meonk,Indro Warkop,Wizzy"
Hijab,2015,5.7,Hanung Bramantyo,"Meriam Bellina,Tika Bravani,Nino Fernandez"
Si Roy,1989,,Achiel Nasrun,"Tisna S. Brata,Margie Dayana,Rossy S. Dradjat"
Perjanjian dengan Iblis,2019,5.1,Ardy Octaviand,"Shandy Aulia,Artika Sari Devi,Aghi Narottama"
Epen Cupen the Movie,2015,5.2,Irham Acho Bahtiar,"Klemen Awi Celo,Babe Cabita,Marissa Nasution"
Bayi Gaib: Bayi Tumbal Bayi Mati,2018,5.7,Rizal Mantovani,"Rianti Cartwright,Ashraf Sinclair,Mario Lawalatta"
Future Wife,2019,6.8,Asep Kusdinar,"Michelle Ziudith,Rizky Nazar,Dian Sidik"
Itu Bisa Diatur,1984,7.9,Arizal,"Aminah Cendrakasih,Pong Harjatmo,Edwin Lerrick"
Lagi-Lagi Ateng,2019,6.6,Monty Tiwa,"Augie Fantinus,Soleh Solihun,Julie Estelle"
Taksi,1991,7.3,Arifin C. Noer,"Meriam Bellina,Dorman Borisman,Rano Karno"
Bangku Kosong,2006,6.0,Helfi C.H. Kardit,"Adhitya Putri,Cathy Sharon,Bella Esperance"
Jaka Swara,1990,6.9,Liliek Sudjio,"Simon Cader,Usman Effendy,Rhoma Irama"
Lima,2018,7.0,Harvan Agustriansyah,"Prisia Nasution,Yoga Pratama,Baskara Mahendra"
The Empire's Throne,2013,5.8,Nirattisai Kaljareuk,"Slamet Rahardjo,Livi Zheng,Saifullah Yusuf"
Pintu Merah,2019,7.0,Noviandra Santosa,"Aura Kasih,Miller Khan,Cornelio Sunny"
12 Menit,2014,8.6,Hanny Saputra,"Verdi Solaiman,Titi Rajo Bintang,Egy Fedly"
Setannya Kok Masih Ada,2011,4.5,Muchyar Syamas,"Deddy Mahendra Desta,Zacky Zimah,Ardani"
Bukan Cowok Idola,2008,,Iqbal Rais,"Kinanti Aimarandy,Dennis Adhiswara,Nadia Edward"
Cinta Tapi Beda,2012,6.8,Hanung Bramantyo,"Ratu Felisha,Nungki Kusumastuti,Reza Nangin"
"6,9 Detik",2019,6.7,Lola Amaria,"Aries Susanti Rahayu,Ariyo Wahab,Kayla Ardianto"
Cinta Suci Zahrana,2012,6.4,Chaerul Umam,"Meyda Sefira,Kholidi Asadil Alam,Faradina"
Misteri Rumah Tua,1987,,Liliek Sudjio,"Noor Kumalasari,Rani Soraya,W.D. Mochtar"
Pocong 2,2006,6.5,Rudy Soedjarwo,"Revalina S. Temat,Ringgo Agus Rahman,Henidar Amroe"
The Wedding & Bebek Betutu,2015,6.9,Hilman Mutasi,"Tora Sudiro,Aming Sugandhi,Ananda Omesh"
Pembalasan Si Pitung,1977,7.2,Nawi Ismail,"A.N. Alcaff,Hamid Arief,Muni Cader"
Jampang II,1990,,S.A. Karim,"Barry Prima,Yoshep Hungan,Rudy Wahab"
Perahu Kertas 2,2012,6.8,Hanung Bramantyo,"Maudy Ayunda,Adipati Dolken,Reza Rahadian"
Jilbab Traveler: Love Sparks in Korea,2016,6.4,Guntur Soeharjanto,"Bunga Citra Lestari,Morgan Oey,Giring Ganesha"
My Diaries,2020,5.4,Angling Sagaran,"Kila Putri Alam,Slamet Rahardjo,Widuri Sasono"
Midah Perawan Buronan,1983,5.3,Fritz G. Schadt,"Eva Arnaz,Edy S. Jonathan,Adang Mansyur"
Ini Kisah Tiga Dara,2016,6.7,Nia Di Nata,"Titiek Puspa,Shanty Paredes,Tara Basro"
Oo Nina Bobo,2014,5.2,Jose Poernomo,"Jose Poernomo,Boy Rano,Revalina S. Temat"
Aisyah: Biarkan Kami Bersaudara,2016,8.3,Herwin Novianto,"Laudya Cynthia Bella,Agung Isya Almasie Benu,Wilhelmina Seo Enok"
Lebak Membara,1983,6.3,Imam Tantowi,"George Rudy,El Manik,Ratno Timoer"
Pink Guinea Pig,2014,6.9,Raditya Dika,"Raditya Dika,Christoffer Nelwan,Franda"
Mika,2013,6.6,Lasja Fauzia,"Vino G. Bastian,Velove Vexia,Framly Daniel"
Birahi perempuan halus,1997,,Henry Farel L. Tobing,"Vera Agustina,Cheppy Chandra,Indah Febrizha"
Simfoni Luar Biasa,2011,6.3,Awi Suryadi,"Christian Bautista,Ira Wibowo,Ira Maya Sopha"
Ruqyah: The Exorcism,2017,4.3,Jose Poernomo,"Evan Sanders,Celine Evangelista,Hikmal Abrar Nasution"
Tentang Rindu,2021,8.0,Dyan Sunu Prastowo,"Budhita Arini,Raditya Kurnia,Aurora Ribero"
Garuda di Dadaku 2,2011,6.4,Rudy Soedjarwo,"Emir Mahira,Aldo Tansani,Maudy Koesnaedi"
Preman in Love,2009,6.7,Rako Prijanto,"Tora Sudiro,Vincent Ryan Rompies,Fanny Fabriana"
Tahu Diri Dong,1984,7.1,Arizal,"Ita Agusta,Eva Arnaz,Malino Djunaedy"
Seperti Dendam Rindu Harus Dibayar Tuntas,2021,,Edwin,"Eka Kurniawan,Ladya Cheryl,Marthino Lio"
Serigala Langit,2021,,Reka Wijaya,"Deva Mahenra,Bunga Jelitha,Yoshi Sudarso"
Terowongan Casablanca,2007,3.9,Nanang Istiabudi,"Donny Arifin,Ki Joko Bodo,Nino Fernandez"
Sherina's New Adventure,2021,,Riri Riza,"Sherina Munaf,Ratna Riantiarno,Mathias Muchus"
Gentayangan,2018,4.6,Shyam Ramsay,"Baim Wong,Nadine Alexandra,Chris Laurent"
Kabut asmara,1994,,Torro Margens,"Hudi Prayogo,Kiki Fatmala,Mathias Agus"
Flutter Echoes and Notes Concerning Nature,2016,,Amir Pohan,"Putri Ayudya,Ismail Basbeth,Tara Basro"
Setia Band: Pengorbanan,2015,,,
Barang Terlarang,1987,4.1,Maman Firmansyah,"Eva Arnaz,Clift Sangra,Nena Rosier"
Dear Zefanya,2020,,Pradhana Wibisono,"Chessa Amalia,Amriza Basyari Batubara,Mayra Sava Charity"
"XL: Extra Large - Antara Aku, Kau, dan Mak Erot",2008,4.8,Monty Tiwa,"Alex Abbad,Jamie Aditya,Sentot Gempur"
First Love,2006,6.3,Nayato Fio Nuala,"Bunga Citra Lestari,Ben Joshua,Richard Kevin"
Manusia Enam Juta Dollar,1981,7.6,Ali Shahab,"Hamid Arief,Eva Arnaz,Dorman Borisman"
"Trinity, The Nekad Traveler",2017,7.2,Rizal Mantovani,"Maudy Ayunda,Hamish Daud,Anggika Bolsterli"
Dara,2007,7.2,Kimo Stamboel,"Shareefa Daanish,Ruly Lubis,Mike Lucock"
Maryam,2014,7.9,Sidi Saleh,"Adrianto Sinaga,Rifky Sulaeman,Meyke Vierna"
Brandal-Brandal Ciliwung,2012,7.7,Guntur Soeharjanto,"Endy Arfian,Griselda Agatha,Aldy Indrawan"
Garuda di Dadaku,2009,6.7,Ifa Isfansyah,"Emir Mahira,Aldo Tansani,Marsha Aruan"
Javanese Opera,2006,6.4,Garin Nugroho,"Martinus Miroto,Eko Supriyanto,Artika Sari Devi"
Tusuk Jelangkung,2003,6.1,Dimas Djayadiningrat,"Ian Bahtiar,Thomas Nawilis,Dinna Olivia"
Baik-Baik Sayang,2011,7.0,Somad Sutedja,"Wali Band,Intan Nuraini,Arumy Bachsin"
Loetoeng Kasaroeng,1926,7.3,L. Heuveldorp,"L. Heuveldorp,G. Krugers,Martoana"
King,2009,7.0,Ari Sihasale,"Rangga Raditya,Lucky Martin,Surya Saputra"
"Eliana, Eliana",2002,6.8,Riri Riza,"Rachel Maryam Sayidina,Jajang C. Noer,Henidar Amroe"
Pencarian Terakhir,2008,7.3,Affandi Abdul Rachman,"Lukman Sardi,Richa Novisha,Yama Carlos"
Rumah dan Musim Hujan,2012,7.5,Ifa Isfansyah,"Tora Sudiro,Vino G. Bastian,Tara Basro"
#Modus,2016,4.3,Fajar Bustomi,"Andovi Da Lopez,Jovial Da Lopez,Melayu Nicole"
Pocong 3,2007,5.1,Monty Tiwa,"Francine Roosenda,Darius Sinathrya,Gary M. Iskak"
Sang Pialang,2013,7.0,Asad Amar,"Abimana Aryasatya,Kamidia Radisti,Slamet Rahardjo"
Bergairah di Puncak,1996,4.8,Windy Chindyana,"Windy Chindyana,Ibra Azhari"
Skandal Iblis,1992,6.3,H. Tjut Djalil,"Lela Anggraini,Eddy Gunawan,Ranieta Manopo"
Rumah Gurita,2014,7.6,Jose Poernomo,"Shandy Aulia,Boy William,Kemal Palevi"
Gila Lu Ndro,2018,5.2,Herwin Novianto,"Tora Sudiro,Indro Warkop,Mieke Amalia"
Dear Rena,2005,7.3,Riri Riza,"Maudy Ayunda,Surya Saputra,Karlina Inawati"
Si Buta dari Gua Hantu,1985,5.8,Ratno Timoer,"Ayu Azhari,Advent Bangun,Pitradjaya Burnama"
Get Married 2,2009,6.1,Hanung Bramantyo,"Nirina Zubir,Nino Fernandez,Aming Sugandhi"
Kuyang,2020,,Ismail Basbeth,"Salvita Decorte,Cornelio Sunny,Karina Salim"
Mangga Muda,2020,,Girry Pratama,"Tora Sudiro,Alexandra Gottardo,Ridwan Kamil"
Malaikat Tanpa Sayap,2012,7.8,Rako Prijanto,"Adipati Dolken,Maudy Ayunda,Ikang Fawzi"
Ranjau-Ranjau Cinta,1984,6.1,Nasri Cheppy,"Afrizal Anoda,Krissno Bossa,Mien Brodjo"
Bodyguard Ugal-Ugalan,2018,5.6,Irham Acho Bahtiar,"Syahrini,Tamara Blezinski,Boris Bokir"
What Lies Within,2018,7.1,Rudi Aryanto,"Dimas Anggara,Amanda Rawles,Maxime Bouttier"
Bad Wolves,2005,7.3,Richard Buntario,"Indra Bekti,Sultan Djorghi,Ivan Gunawan"
Jagoan Instan,2016,5.4,Fajar Bustomi,"Kemal Palevi,Kevin Julio,Anisa Rahma"
Dongeng Mistis,2018,6.5,Orizon Astonia,"Gandhi Fernando,Dhea Ananda,Putri Ayudya"
In the Name of Love,2008,5.5,Rudy Soedjarwo,"Vino G. Bastian,Acha Septriasa,Christine Hakim"
Lorong,2019,5.0,Hestu Saputra,"Winky Wiryawan,Prisia Nasution,Nova Eliza"
"Aku, Kau, & KUA",2014,7.0,Monty Tiwa,"Adipati Dolken,Eriska Rein,Nina Zatulini"
Menunggu Pagi,2018,6.8,Teddy Soeriaatmadja,"Arya Saloka,Arya Vasco,Aurélie Moeremans"
Setegar gunung batu,1988,,Slamet Riyadi,"Sophia Latjuba,Hengky Tornando,Lina Budiarty"
Berangkat!,2017,7.4,Naya Anindita,"Ayushita,Tarra Budiman,Babe Cabita"
Tujuh Bidadari,2018,6.6,Muhammad Yusuf,"Dara Warganegara,Lia Waode,Brigitta Cynthia"
Napsu gila,1973,,Ali Shahab,"Suzzanna,Dicky Suprapto,Tan Tjeng Bok"
Filosofi Kopi: Aroma Gayo,2020,6.1,Rahung Nasution,"Rio Dewanto,Sadikin Gembel,Aman Zakirah"
Promoter in Paradise,2019,,Joseph J.U. Taylor,"Tara Adia,Natasha Gott,Sarah Mühlhause"
Tausiyah Cinta,2016,6.3,Humar Hadi,"Rendy Herpy,Irwansyah,Ressa Rere"
Hijabers in Love,2014,,Ario Rubbik,"Oka Aurora,Shawn Adrian Khulafa,Vebby Palwinta"
Serbuan halilintar,1982,,Arizal,"Mathias Agus,Eva Arnaz,Enny Beatrice"
Di balik pelukan laki laki,1995,,Abdul Razak,"Lela Anggraini,Windy Chindyana,Ayu Lestari"
Tante garang,1983,,Ida Farida,"Itje Trisnawati,Rina Hasyim,Yos Santo"
Pinky Promise,2016,7.5,Guntur Soeharjanto,"Donny Alamsyah,Dhea Ananda,Alexandra Gottardo"
Bukaan 8,2017,7.2,Angga Dwimas Sasongko,"Chicco Jerikho,Lala Karmela,Tio Pakusadewo"
Uang Panai' Maha(r)l,2016,6.7,Halim Gani Safia Asril Sani,"Abu,Muh. Zoel Ikram,Muhammad Ismail"
Dikejar dosa,1974,8.4,Lukman Hakim Nain,"Yan Bastian,Hendra Cipta,Arman Effendy"
Dilema,2011,7.2,Adilla Dimitri,"Kenes Andari,Abimana Aryasatya,Ario Bayu"
Mars and Venus (Collabs Version),2020,,Hadrah Daeng Ratu,"Pamela Bowie,Ge Pamungkas,Reza Nangin"
Merindu Cahaya de Amstel,2020,,Hadrah Daeng Ratu,"Amanda Rawles,Rachel Amanda,Bryan Domani"
DOA (Doyok-Otoy-Ali Oncom): Cari Jodoh,2018,6.1,Anggy Umbara,"Fedi Nuril,Pandji Pragiwaksono,Dwi Sasono"
Dawai 2 Asmara,2010,7.1,Asep Kusdinar,"Delon,Emily Graham,Rhoma Irama"
Mari Lari,2014,7.5,Delon Tio,"Verdi Solaiman,Dimas Aditya,Dimas Argoebie"
Sunan Kalijaga & Syech Siti Jenar,1985,6.6,Ackyl Anwari,"Zainal Abidin,Baron Ahmadi,Mang Diman"
Winter in Tokyo,2016,7.1,Fajar Bustomi,"Dion Wiyoko,Pamela Bowie,Morgan Oey"
Darna ajaib,1980,,Liliek Sudjio,"Hamid Arief,Dian Ariestya,Emilia Djayakusuma"
Humba Dreams,2019,7.0,Riri Riza,"J.S. Khairen,Ully Triani,Ephy Sekuriti"
Midnight Show,2016,6.5,Ginanti Rona Tembang Sari,"Gandhi Fernando,Acha Septriasa,Ganindra Bimo"
Terimakasih Cinta,2019,7.8,Tema Patrosza,"Putri Marino,Achmad Megantara,Allan Dastan"
Jaka tuak,1990,,S.A. Karim,"Barry Prima,Niena Karina,Yoshep Hungan"
Manusia Setengah Salmon,2013,5.8,Herdanius Larobu,"Raditya Dika,Kimberly Ryder,Eriska Rein"
Duka Sedalam Cinta,2017,8.4,Firman Syah,"Hamas Syahid,Aquino Umar,Masaji Wijayanto"
Shy Shy Cat,2016,6.5,Monty Tiwa,"Fedi Nuril,Nirina Zubir,Acha Septriasa"
Night and Day,2021,,Patrick Joshua,"Patrick Joshua,McKinley Benson"
Cinta Itu Bangsat,2020,,Amir Pohan,"Aufa Assagaf,Salvita Decorte,Rio Dewanto"
Kejarlah Jodoh Kau Kutangkap,2011,6.1,Indrayanto Kurniawan,"Andhika Pratama,Donita,Lydia Kandou"
At 03:00 AM,2017,,Arlin Nurshopiana,"Fajrin Rahmawan Sain,Wasmi Tristianti,Nanda Midianita"
Pariban: Idola dari Tanah Jawa,2019,7.2,Andibachtiar Yusuf,"Atiqah Hasiholan,Ganindra Bimo,Rizky Mocil"
Affair,2010,4.2,Nayato Fio Nuala,"Sigi Wimala,Garneta Haruni,Dimas Aditya"
Hari Ini Pasti Menang,2013,6.9,Andibachtiar Yusuf,"Zendhy Zain,Mathias Muchus,Ray Sahetapy"
Makhluk dari Kubur,1991,5.7,S.A. Karim,"Hendra Cipta,Yenny Farida,Muni Cader"
Tjoet Nja' Dhien,1988,7.5,Eros Djarot,"Pitradjaya Burnama,Christine Hakim,Rudy Wowor"
Langitku Rumahku,1990,7.5,Slamet Rahardjo,"Baron Ahmadi,Soenaryo Banyu Biru,Pitradjaya Burnama"
Romeo Juliet,2009,7.5,Andibachtiar Yusuf,"Sissy Priscillia,Edo Borne,Alex Komang"
Akibat Pergaulan Bebas 2,2011,3.8,Findo Purwono,"Lia Aulia,Tasya Djerly Emor,Keith Foo"
Sri,1999,,Marselli Sumarno,"Rini Ariyanti,Sardono W. Kusumo,R.M.T. Ronosuripto"
Sunan Kalijaga,1984,6.2,Sofyan Sharna,"Deddy Mizwar,W.D. Mochtar,Zainal Abidin"
Keluarga Cemara 2,2021,,Ismail Basbeth,"Nirina Zubir,Ringgo Agus Rahman,Adhisty Zara"
Laura & Marsha,2013,6.3,Dinna Jasanti,"Prisia Nasution,Adinia Wirasti,Ratna Riantiarno"
Suami yang Menangis,2019,8.7,Farid Ongky,"Alvin Faiz,Betari Ayu,Ariyo Wahab"
Menuju Rembulan,2015,6.1,Ismail Basbeth,"Tara Basro,Ratu Anandita,Cornelio Sunny"
Sepuluh,2009,6.0,Henry Riady,"Ari Wibowo,Rachel Maryam Sayidina,August Melasz"
Pangreh,2016,6.9,Harvan Agustriansyah,Harvan Agustriansyah
Kapal Goyang Kapten,2019,6.6,Raymond Handaya,"Yuki Kato,Ge Pamungkas,Babe Cabita"
Mandala dari sungai ular,1987,,Ackyl Anwari,"Barry Prima,Atut Agustinanto,Sjaeful Anwar"
Aandhali Koshimbir,2014,5.6,Aditya Ingale,"Priya Bapat,Mrunmayee Deshpande,Kaluram Dhobale"
Pagi Tanpa Mentari,2016,8.2,Andree Sascha,
Chocolate and Strawberry,2007,6.6,Ardy Octaviand,"Marrio Merdhithia,Nino Fernandez,Nadia Saphira"
Jurus Dewa Naga,1989,,S.A. Karim,"Barry Prima,Ziela Jalil,Chitra Dewi"
Jejak Cinta,2018,,Tarmizi Abka,"Baim Wong,Prisia Nasution,Zora Vidyanata"
Capres: Calo Presiden,2009,5.5,Toto Hoedi,"Dwi Sasono,Happy Salma,Cathrine Wilson"
11:11: Apa yang Kau Lihat?,2019,,Andy Manoppo,"Rendy Kjaernett,Bayu Anggara,Twindy Rarasati"
Titian Serambut Dibelah Tujuh,1982,8.2,Chaerul Umam,"Rachmat Hidayat,Sukarno M. Noor,Soultan Saladin"
Insya Allah Sah,2017,5.6,Benni Setiawan,"Pandji Pragiwaksono,Titi Kamal,Richard Kyle"
Gotcha,2006,5.1,Nayato Fio Nuala,"Hendrik Betta,Kirana Larasati,Fikri Ramdhan"
Parts of the Heart,2012,7.0,Paul Agusta,"Joko Anwar,Endy Arfian,Bobby Asmoro"
The Promise,2016,5.8,Bambang Drias,"Bambang Drias,Alim Sudio"
Detik Terakhir,2005,6.8,Nanang Istiabudi,"Shanty,Cornelia Agatha,Tri Budiman"
Ah... I'm Falling in Love,2016,6.4,Garin Nugroho,"Chicco Jerikho,Pevita Pearce,Nova Eliza"
Kenapa Harus Bule?,2018,6.5,Andri Cung,"Putri Ayudya,Natalius Chendana,Cornelio Sunny"
Sanubari Jakarta,2012,6.2,Lola Amaria,"Hafez Ali,Ence Bagus,Deddy Corbuzier"
Honeymoon,2013,5.8,Findo Purwono,"Shireen Sungkar,Fathir Muchtar,Nino Fernandez"
Mata Tertutup,2012,6.2,Garin Nugroho,"Eka Nusa Pertiwi,Jajang C. Noer,M. Dinu Imansyah"
Terjebak Nostalgia,2016,7.0,Rako Prijanto,"Raisa,Chicco Jerikho,Maruli Tampubolon"
Misteri dari Gunung Merapi,1990,5.6,Liliek Sudjio,"Fendy Pradana,Ida Iasha,Farida Pasha"
Best Friend?,2008,6.8,Fajar Bustomi,"Nikita Willy,Risty Tagor,Oka Antara"
Nada-Nada Rindu,1987,5.1,Muchlis Raya,"Susy Bolle,S. Bono,Dana Christina"
Beth,2002,5.9,Aria Kusumadewa,"Ine Febriyanti,Lola Amaria,Nurul Arifin"
Empat sekawan,1953,,Hu,"Hu,Anwar,Hamid Arief"
Mama Cake,2012,7.5,Anggy Umbara,"Ananda Omesh,Boy William,Arie Dagienkz"
Heaven and Hell,2018,,Bobby Prabowo,"Donny Alamsyah,Aufa Assagaf,Salvita Decorte"
Di Luar Batas,1984,4.3,Jopi Burnama,"Eva Arnaz,Mangara Siahaan,Boy Tirayoh"
Aku atau Dia?,2010,6.3,Affandi Abdul Rachman,"Alex Abbad,Shara Aryo,Edo Borne"
My Love is Forever,2008,4.7,Thomas Nawilis,"Nadila Ernesta,Hardi Fadhillah,Ratu Felisha"
Menebus Impian,2010,6.1,Hanung Bramantyo,"Acha Septriasa,Ayu Dyah Pasha,Fedi Nuril"
