title,year,rating,director,stars
Atma De Vischer,1931,,,
Tjitra,1949,,Usmar Ismail,"Hamid Arief,Nila Djuwita,Moh Said H.J."
Fantastic Nite,2016,9.0,Zidny Nafian,"Amelia Vindy,Reza Chandika,Ivan Oktavian"
Duel,1984,,Bacharoem Halilintar,"Nina Anwar,Avent Cristy,Agus"
ONE Championship 59: Total Victory,2017,,Kairat Akhmetov,"Kairat Akhmetov,Roy Doliguez,Geje Eustaquio"
Tirai kasih,1984,,Agus Elias,"Kamsul Chandrajaya,Ade Irawan,Dasri Jacob"
ZeckoZICK: Capital Z,2018,,East Power Collective,"East Power Collective,Zeckozick"
The Sinking Capital,2019,,Wira Satria,"Wira Satria,Wira Satria,Joshua Vong"
Angkerbatu,2007,4.9,Jose Poernomo,"Mieke Amalia,Susilo Badar,Yama Carlos"
Lembah duka,1981,,Jopi Burnama,"Eva Arnaz,Chintami Atmanegara,Ruslan Basrie"
Tjambuk api,1958,,D. Djajakusuma,"Bambang Irawan,Aminah Cendrakasih,Soendjoto Adibroto"
Vulgar,2013,,Ladya Cheryl,Ladya Cheryl
L4 Lupus,2011,,Damien Dematra,"Virda Anggraini,Ayu Azhari,Natasha Dematra"
Jakarta Ghost Seeker,2015,,Rico M. Bradley,"Sally Jackson,Melody Prima,Simon Rama"
Bali: Island of the Dogs,2010,,Dean Allan Tolhurst,"Dean Allan Tolhurst,Lawrence Blair"
Pengakuan,1988,,Maman Firmansyah,"Uci Bing Slamet,Tio Pakusadewo,Koesno Arif"
Asmara di balik pintu,1984,,Ida Farida,"Rano Karno,Kaharudin Syah,Marisa Haque"
"Renita, Renita",2007,,Tonny Trimarsanto,
Kutukan Suster Ngesot,2009,3.5,David Purnomo,"Rustam Anwar,Celine Evangelista,Fanny Ghassani"
Via Vallen: Selow,2018,,Christ Sinyal,Christ Sinyal
Asmara,1992,,Adisoerya Abdi,"Adisoerya Abdi,Eva Arnaz,Ully Artha"
Skandal Cinta Babi Ngepet,2008,1.5,K.K. Dheeraj,"Ratu Felisha,Ferry Fernandez,Olga Syahputra"
Seputih Cinta Melati,2014,,Ari Sihasale,"Argo,Asrul Dahlan,Naomi Ivo"
"Bali, Dating & Corona",2020,,Matthew Fletcher,Matthew Fletcher
Semoga kau kembali,1976,,Motinggo Boesje,"Zainal Abdi,Netty Herawati,Lenny Marlina"
Rumah dan Bunga Matahari,2018,,I Kadek Jaya Wiguna,"Lady Dhiana,Tina Roostiati,Wirman Simago"
Yang terbelenggu,1984,,Nico Pelamonia,"Johan Saimima,Yenny Farida,Nina Anwar"
Mimpi sedih,1974,,Willy Wilianto,"Deddy Sutomo,Kusno Sudjarwadi,Lenny Marlina"
